,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loss,epsilon,tair,action,pmv,qheat,reward,occ
6814,6814,6814,6814,1593634048.0,0.6608000000000374,18.0628377644431,17.818181818181817,-1.2071286293994683,161251.4594075674,0.41729197,0.2709715680000001
6815,6815,6815,6815,2729499648.0,0.6607500000000374,19.40577872785536,19.939393939393938,-1.3455299323554348,498175.3666226903,0.84029267,0.2709715680000001
6816,6816,6816,6816,2421948416.0,0.6607000000000374,20.00960036651193,20.949494949494948,-1.2153522293250036,511253.4003747058,0.45441224,0.8129147040000001
6817,6817,6817,6817,3634318080.0,0.6606500000000374,20.65767287564033,20.747474747474747,-1.1025622886777535,501020.4731101958,0.68401621,0.8129147040000001
6818,6818,6818,6818,2343534080.0,0.6606000000000374,20.72743734838411,20.747474747474747,-1.0047270722172552,478275.2265552015,0.77633905,0.8129147040000001
6819,6819,6819,6819,1959413760.0,0.6605500000000374,18.9252491154282,18.57575757575757,-0.9751380602775216,133464.4899856049,0.82882396,0.8129147040000001
6820,6820,6820,6820,2685871616.0,0.6605000000000374,20.30427269792318,20.747474747474747,-1.1596451336120748,512162.9298627413,1.10984886,0.8129147040000001
6821,6821,6821,6821,1674301952.0,0.6604500000000374,20.73244546680932,20.747474747474747,-1.0326754737052943,413886.4335642347,0.73969132,0.8129147040000001
6822,6822,6822,6822,3935938304.0,0.6604000000000374,20.7472329756679,20.747474747474747,-0.9468052200605684,383606.1363380495,0.93234213,1.35485784
6823,6823,6823,6823,2076884096.0,0.6603500000000374,19.1891404930287,18.929292929292927,-0.927816087202158,118817.3102066419,1.29572019,1.35485784
6824,6824,6824,6824,670354048.0,0.6603000000000374,20.07228236224093,20.09090909090909,-1.0861760669093932,286764.9200526034,1.41215096,1.35485784
6825,6825,6825,6825,3717521920.0,0.6602500000000374,18.46701729240149,18.07070707070707,-1.007518334309019,35186.31510573265,1.3087865,1.35485784
6826,6826,6826,6826,4130623744.0,0.6602000000000374,20.15797924156944,20.545454545454547,-1.1625691666159308,330503.9907712564,1.41318792,1.35485784
6827,6827,6827,6827,1171057152.0,0.6601500000000374,20.10868181896733,20.09090909090909,-0.9972767287119706,86869.88856227398,1.26798858,1.35485784
6828,6828,6828,6828,2924132864.0,0.6601000000000374,19.25563758622934,19.232323232323232,-0.9592356123775836,144352.8690330506,1.62407151,1.35485784
6829,6829,6829,6829,1460957952.0,0.6600500000000374,20.62149237628674,21.0,-1.0561617587028054,385586.6218316404,1.42089663,1.35485784
6830,6830,6830,6830,3253861888.0,0.6600000000000374,20.25015573099321,20.24242424242424,-0.9123695267433316,221909.9039601291,1.31417248,1.35485784
6831,6831,6831,6831,2587287552.0,0.6599500000000375,20.93855970149597,21.0,-0.9183345748034952,349135.3492735514,1.51068658,1.35485784
6832,6832,6832,6832,1641948672.0,0.6599000000000375,20.99997835839516,21.0,-0.8428361421798835,260570.5447732742,1.45394442,1.35485784
6833,6833,6833,6833,3517948416.0,0.6598500000000375,18.92187122020549,16.656565656565657,-0.8176185085963049,0.0,1.59881673,1.35485784
6834,6834,6834,6834,2984849152.0,0.6598000000000375,20.15763653351915,20.19191919191919,-1.0380295770852614,163612.1415318756,1.62590425,1.083886272
6835,6835,6835,6835,3063929856.0,0.6597500000000375,18.50214581308685,16.757575757575758,-0.940532319602339,0.0,1.40188416,1.083886272
6836,6836,6836,6836,2753313280.0,0.6597000000000375,19.80143551959872,19.88888888888889,-1.098126222204881,165003.1061164556,1.43558547,1.083886272
6837,6837,6837,6837,1883244672.0,0.6596500000000375,20.57837380397379,20.747474747474747,-0.9830408075755214,336961.4940855255,1.35407109,1.083886272
6838,6838,6838,6838,2198182400.0,0.6596000000000375,18.80412126837062,16.353535353535353,-0.8721313669149804,0.0,1.25933632,1.083886272
6839,6839,6839,6839,1353634048.0,0.6595500000000375,18.76933233117257,18.828282828282827,-1.0480197511612943,187763.5078914676,1.48989519,1.083886272
6840,6840,6840,6840,2686465024.0,0.6595000000000375,20.3339743116657,20.747474747474747,-1.0851150721523484,369210.0544671357,1.21498369,0.6096860280000002
6841,6841,6841,6841,4053632768.0,0.6594500000000375,20.6956767898735,20.69696969696969,-0.906349716866847,295488.1409984042,0.90042772,0.6096860280000002
6842,6842,6842,6842,3294035712.0,0.6594000000000375,20.34594110166247,20.343434343434343,-0.8341111333547335,224454.3606156097,1.03662296,0.6096860280000002
6843,6843,6843,6843,3854055168.0,0.6593500000000375,18.94139661445401,17.86868686868687,-0.865335425505999,0.0,1.10637817,0.6096860280000002
6844,6844,6844,6844,846210752.0,0.6593000000000375,19.52512291688569,19.535353535353536,-1.0203414645183786,121914.2649290414,1.29244111,0.6096860280000002
6845,6845,6845,6845,2928688640.0,0.6592500000000375,20.71771730672125,21.0,-0.983338982363179,373669.7268417777,1.16260817,0.6096860280000002
6846,6846,6846,6846,2507807232.0,0.6592000000000375,19.3171293007832,18.97979797979798,-0.8375649839653937,43036.12147134897,0.93679022,0.8806575960000002
6847,6847,6847,6847,846705280.0,0.6591500000000375,19.61064927821615,19.63636363636364,-0.9645519879048832,152595.3160733766,1.41775121,0.8806575960000002
6848,6848,6848,6848,1365814784.0,0.6591000000000375,20.77878415921254,21.0,-0.9544641978854989,338503.6756205037,1.2896861,0.8806575960000002
6849,6849,6849,6849,2288368128.0,0.6590500000000376,19.32689901953818,18.929292929292927,-0.8163336835776166,40662.94491034514,1.17894634,0.8806575960000002
6850,6850,6850,6850,1125601536.0,0.6590000000000376,18.56036257200257,16.707070707070706,-0.9517300061289818,0.0,1.43200945,0.8806575960000002
6851,6851,6851,6851,2401131520.0,0.6589500000000376,18.12072424117577,17.616161616161616,-1.060204894105561,0.0,1.3873089,0.8806575960000002
6852,6852,6852,6852,3461986048.0,0.6589000000000376,19.88185203634925,20.19191919191919,-1.1232084115788037,218206.984848392,1.33182437,1.35485784
6853,6853,6853,6853,611525056.0,0.6588500000000376,18.65588664402404,17.060606060606062,-0.9334341155085218,0.0,1.4948575,1.35485784
6854,6854,6854,6854,1650111232.0,0.6588000000000376,20.07003287601311,20.19191919191919,-1.040496281153486,185607.7006277817,1.62256222,1.35485784
6855,6855,6855,6855,2508775680.0,0.6587500000000376,19.86983909841343,19.737373737373737,-0.9039705668449876,0.0,1.57552552,1.35485784
