Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  09:00:00,5812.315488,0.0,1061599.4376447385,0.0,,,,,,,,,,,,,968.719248,0.0,176283.3281679138,0.0 
 01/01  09:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,176170.1452125252,0.0 
 01/01  09:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,176019.5819705568,0.0 
 01/01  09:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,175828.91189471176,0.0 
 01/01  09:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,175597.8238378805,0.0 
 01/01  09:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,175323.2418518297,0.0 
 01/01  10:00:00,5812.315488,0.0,1053936.1710532387,0.0,,,,,,,,,,,,,968.719248,0.0,174996.46628573477,0.0 
 01/01  10:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,174409.3246297863,0.0 
 01/01  10:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,173756.52706732416,0.0 
 01/01  10:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,173034.7401276409,0.0 
 01/01  10:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,172238.4272188267,0.0 
 01/01  10:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,171370.29891163045,0.0 
 01/01  11:00:00,5812.315488,0.0,1035242.8424288819,0.0,,,,,,,,,,,,,968.719248,0.0,170433.5244736735,0.0 
 01/01  11:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,169381.80999446097,0.0 
 01/01  11:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,168264.01457506993,0.0 
 01/01  11:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,167072.66200700799,0.0 
 01/01  11:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,165778.38879457207,0.0 
 01/01  11:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,164390.26127233066,0.0 
 01/01  12:00:00,5812.315488,0.0,997852.0204977198,0.0,,,,,,,,,,,,,968.719248,0.0,162964.8838542781,0.0 
 01/01  12:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,161774.6781182933,0.0 
 01/01  12:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,160572.22888406396,0.0 
 01/01  12:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,159372.42217695187,0.0 
 01/01  12:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,158165.9352638143,0.0 
 01/01  12:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,156802.86032482296,0.0 
 01/01  13:00:00,5812.315488,0.0,951788.2228852336,0.0,,,,,,,,,,,,,968.719248,0.0,155100.0981172873,0.0 
 01/01  13:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,152885.85095635354,0.0 
 01/01  13:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,150266.2537365955,0.0 
 01/01  13:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,147301.04557609093,0.0 
 01/01  13:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,144089.1642857814,0.0 
 01/01  13:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,140902.98554281557,0.0 
 01/01  14:00:00,5812.315488,0.0,873779.6503428283,0.0,,,,,,,,,,,,,968.719248,0.0,138334.35024519135,0.0 
 01/01  14:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,134686.92137419366,0.0 
 01/01  14:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,131001.26089795605,0.0 
 01/01  14:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,127346.46124646046,0.0 
 01/01  14:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,123784.05126855833,0.0 
 01/01  14:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,120408.58599334077,0.0 
 01/01  15:00:00,5812.315488,0.0,754494.6156247892,0.0,,,,,,,,,,,,,968.719248,0.0,117267.33484427996,0.0 
 01/01  15:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,114714.32347822521,0.0 
 01/01  15:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,112484.98900281558,0.0 
 01/01  15:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,110585.63137903475,0.0 
