,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0.0,0.99955,7.082887298688417,17.482412060301506,-3.6466930187181963,0.0,[1.],0.0
1,0.0,0.99955,7.086892321552718,20.44723618090452,-3.650172276609294,0.0,[1.],0.0
2,0.0,0.99955,7.099071925962292,19.190954773869347,-3.651367156774423,0.0,[1.],0.0
3,0.0,0.99955,7.11419937903255,17.155778894472363,-3.651017760818291,0.0,[1.],0.0
4,0.0,0.99955,7.130398324773278,16.979899497487438,-3.6499989335410112,0.0,[1.],0.0
5,0.0,0.99955,7.14785997508197,19.5678391959799,-3.648636207072876,0.0,[1.],0.0
6,0.0,0.99955,7.151906487558825,17.633165829145728,-3.6469021143821956,0.0,[1.],0.0
7,0.0,0.99955,7.141579816666307,17.733668341708544,-3.647482558618741,0.0,[1.],0.0
8,0.0,0.99955,7.123687582599289,16.77889447236181,-3.6501743923493413,0.0,[1.],0.0
9,0.0,0.99955,7.103961337366319,17.85929648241206,-3.65407820478739,0.0,[1.],0.0
10,0.0,0.99955,7.084601105795151,17.55778894472362,-3.6583504196478844,0.0,[1.],0.0
11,0.0,0.99955,7.06558035138117,17.70854271356784,-3.6626156140950945,0.0,[1.],0.0
12,0.0,0.99955,7.045713000255477,17.65829145728643,-3.6668680022667153,0.0,[1.],0.0
13,0.0,0.99955,7.024752226496388,21.0,-3.6712415947055037,0.0,[1.],0.0
14,0.0,0.99955,7.003119445788274,19.21608040201005,-3.6757997263489215,0.0,[1.],0.0
15,0.0,0.99955,6.98123312222033,20.673366834170857,-3.6804770262158026,0.0,[1.],0.0
16,0.0,0.99955,6.959289238354574,18.48743718592965,-3.6852169846144984,0.0,[1.],0.0
17,0.0,0.99955,6.937310008675481,16.90452261306533,-3.6899814452968176,0.0,[1.],0.0
18,0.0,0.99955,6.916844851019967,20.77386934673367,-3.6947690419535366,0.0,[1.],0.0
19,0.0,0.99955,6.897969737021317,17.959798994974875,-3.6993108055387,0.0,[1.],0.0
20,0.0,0.99955,6.879956005785488,18.311557788944725,-3.703588247870622,0.0,[1.],0.0
21,0.0,0.99955,6.862210508540734,16.502512562814072,-3.707694290820925,0.0,[1.],0.0
22,0.0,0.99955,6.844519510970067,19.065326633165828,-3.711717127870242,0.0,[1.],0.0
23,0.0,0.99955,6.826900805197144,18.01005025125628,-3.715695021937095,0.0,[1.],0.0
24,0.0,0.99955,6.806776995739781,18.939698492462313,-3.7196272121958,0.0,[1.],0.0
25,0.0,0.99955,6.784067827299993,19.592964824120603,-3.724016316152393,0.0,[1.],0.0
26,0.0,0.99955,6.760032327590432,17.331658291457288,-3.7288086577830675,0.0,[1.],0.0
27,0.0,0.99955,6.735676535630988,20.57286432160804,-3.733837691307946,0.0,[1.],0.0
28,0.0,0.99955,6.711364086115809,18.91457286432161,-3.738957050558892,0.0,[1.],0.0
29,0.0,0.99955,6.687069888091098,16.201005025125628,-3.7441004721895492,0.0,[1.],0.0
30,0.0,0.99955,6.662337253686956,16.402010050251256,-3.749271049031994,0.0,[1.],0.0
31,6.915644645690918,0.99955,6.637131760635076,18.386934673366834,-3.754541729537458,0.0,[1.],0.0
32,6.2923736572265625,0.9991000000000001,6.611663214744366,20.12060301507538,-3.759916322648201,0.0,[1.],0.0
33,5.857879638671875,0.9986500000000001,6.586101816068003,16.050251256281406,-3.765363177857828,0.0,[1.],0.0
34,5.311062812805176,0.9982000000000002,6.560515603934727,18.01005025125628,-3.7708594206071826,0.0,[1.],0.0
35,4.934539794921875,0.9977500000000002,6.53490332353288,20.522613065326635,-3.7763899545828266,0.0,[1.],0.0
36,4.329590320587158,0.9973000000000003,6.515377776662413,18.110552763819097,-3.7819562521011685,0.0,[1.],0.0
37,3.6935572624206543,0.9968500000000003,6.501995980166238,20.597989949748744,-3.786365513665968,0.0,[1.],0.0
38,3.384799003601074,0.9964000000000004,6.491793165333984,18.8643216080402,-3.7897749933897042,0.0,[1.],0.0
39,2.5195765495300293,0.9959500000000004,6.482507702936982,17.281407035175878,-3.7926020745886637,0.0,[1.],0.0
40,2.832488536834717,0.9955000000000005,6.473372421672311,18.1356783919598,-3.7951802517490854,0.0,[1.],0.0
41,3.0073628425598145,0.9950500000000005,6.464482167634188,19.894472361809044,-3.7976573450559092,0.0,[1.],0.0
42,2.485668182373047,0.9946000000000006,6.459959678371969,19.467336683417084,-3.800041069777853,0.0,[1.],0.0
