Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  09:00:00,5812.315488,0.0,1037461.713189153,0.0,,,,,,,,,,,,,968.719248,0.0,172291.0664874041,0.0 
 01/01  09:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,172189.87767867605,0.0 
 01/01  09:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,172048.662710898,0.0 
 01/01  09:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,171867.08126810377,0.0 
 01/01  09:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,171644.26415778287,0.0 
 01/01  09:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,171376.57900125104,0.0 
 01/01  10:00:00,5812.315488,0.0,1030180.6069248223,0.0,,,,,,,,,,,,,968.719248,0.0,171054.14210811063,0.0 
 01/01  10:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,170469.3349940222,0.0 
 01/01  10:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,169818.12571623573,0.0 
 01/01  10:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,169095.05695474574,0.0 
 01/01  10:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,168294.35394424364,0.0 
 01/01  10:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,167418.94510649084,0.0 
