Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  04:40:00,-2.0427583267346507,0.0,7.5180360669666419,7.012037638172978,41.766946041275229,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,170218.10115541976,0.0 
 01/01  04:50:00,-2.176091660067984,0.0,7.498873071363453,6.986961177555743,41.80413742728611,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,170996.83673582373,0.0 
 01/01  05:00:00,-2.309424993401317,0.0,7.479619649460916,6.961909107026084,41.83268301640426,0.0,5812.315488,0.0,1018964.0707994616,0.0,,,,,,,,,,,,,968.719248,0.0,171774.77512543623,0.0 
 01/01  05:10:00,-2.459424993401317,0.0,7.46022097131882,6.936428129259133,41.85259816948311,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172603.44622947378,0.0 
 01/01  05:20:00,-2.6094249934013176,0.0,7.4406981525114,6.910486605944981,41.86352758757926,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173430.51440515024,0.0 
 01/01  05:30:00,-2.7594249934013175,0.0,7.421067012112142,6.884293969028082,41.864943448759429,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,174254.45390327113,0.0 
 01/01  05:40:00,-2.909424993401317,0.0,7.401301602360996,6.858018587931061,41.856748200220668,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175074.2336817164,0.0 
 01/01  05:50:00,-3.0594249934013177,0.0,7.381448263388601,6.831726744790002,41.83920477332165,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175889.33988618197,0.0 
 01/01  06:00:00,-3.2094249934013177,0.0,7.3614801958477289,6.805416589234046,41.81274705499426,0.0,5812.315488,0.0,1047951.6372566244,0.0,,,,,,,,,,,,,968.719248,0.0,176699.64915083099,0.0 
 01/01  06:10:00,-3.142758326734651,0.0,7.344558047751112,6.785196321946924,41.779004473088388,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176831.08806617393,0.0 
 01/01  06:20:00,-3.076091660067984,0.0,7.328609659771145,6.771103627295025,41.74454841659864,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176952.98706122963,0.0 
 01/01  06:30:00,-3.0094249934013175,0.0,7.313606259284674,6.760162027325843,41.720764985190097,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177059.26852967454,0.0 
 01/01  06:40:00,-2.942758326734651,0.0,7.2994293981798699,6.750115333115167,41.71367540015301,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177146.2356935369,0.0 
 01/01  06:50:00,-2.876091660067984,0.0,7.285668614840993,6.7402065097069629,41.72421099654423,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177213.19877386109,0.0 
 01/01  07:00:00,-2.809424993401317,0.0,7.2721205546832199,6.73054722205308,41.750941916626228,0.0,5812.315488,0.0,1062462.916948909,0.0,,,,,,,,,,,,,968.719248,0.0,177260.13882443287,0.0 
 01/01  07:10:00,-2.5594249934013177,0.0,7.260090815312455,6.725250922834102,41.77963161815069,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176711.64138348154,0.0 
 01/01  07:20:00,-2.309424993401317,0.0,7.248630537933867,6.724709064618781,41.80901020367746,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176142.1284304054,0.0 
 01/01  07:30:00,-2.059424993401317,0.0,7.238181448023885,6.726794547765614,41.84399499538507,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175555.96336712244,0.0 
 01/01  07:40:00,-1.8094249934013174,0.0,7.22849306213311,6.729974797295712,41.887864098625879,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,174952.3041383046,0.0 
 01/01  07:50:00,-1.5594249934013174,0.0,7.219468387035371,6.7335577477070889,41.94153019076381,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,174329.52507568326,0.0 
 01/01  08:00:00,-1.3094249934013174,0.0,7.210934759346246,6.737689352601965,42.00352802126458,0.0,5812.315488,0.0,1051377.6125096798,0.0,,,,,,,,,,,,,968.719248,0.0,173686.05011468245,0.0 
