,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,51495.046875,0.0,7.082887298688417,17.363636363636363,-3.6466930187181963,0.0,1.0,0.0
1,33184.703125,0.0,7.086892321552718,17.363636363636363,-3.650172276609294,0.0,1.0,0.0
2,14186.984375,0.0,7.099071925962292,17.363636363636363,-3.651367156774423,0.0,1.0,0.0
3,38007.65625,0.0,7.11419937903255,17.363636363636363,-3.651017760818291,0.0,1.0,0.0
4,16470.828125,0.0,7.130398324773278,17.363636363636363,-3.6499989335410112,0.0,1.0,0.0
5,23094.703125,0.0,7.14785997508197,17.363636363636363,-3.648636207072876,0.0,1.0,0.0
6,12645.359375,0.0,7.151906487558825,18.87878787878788,-3.6469021143821956,0.0,1.0,0.0
7,31299.671875,0.0,7.141579816666307,18.12121212121212,-3.647482558618741,0.0,1.0,0.0
8,60201.875,0.0,7.123687582599289,18.12121212121212,-3.6501743923493413,0.0,1.0,0.0
9,19476.890625,0.0,7.103961337366319,18.12121212121212,-3.65407820478739,0.0,1.0,0.0
10,72232.5625,0.0,7.084601105795151,18.626262626262626,-3.6583504196478844,0.0,1.0,0.0
11,1075113.0,0.0,7.06558035138117,18.626262626262626,-3.6626156140950945,0.0,1.0,0.0
12,54865.5703125,0.0,7.045713000255477,18.626262626262626,-3.6668680022667153,0.0,1.0,0.0
13,31075.40625,0.0,7.024752226496388,19.585858585858585,-3.6712415947055037,0.0,1.0,0.0
14,61346.34375,0.0,7.003119445788274,19.585858585858585,-3.6757997263489215,0.0,1.0,0.0
15,769059.4375,0.0,6.98123312222033,19.585858585858585,-3.6804770262158026,0.0,1.0,0.0
16,41686.1875,0.0,6.959289238354574,19.585858585858585,-3.6852169846144984,0.0,1.0,0.0
17,17763.84375,0.0,6.937310008675481,19.585858585858585,-3.6899814452968176,0.0,1.0,0.0
18,789931.0,0.0,6.916844851019967,19.585858585858585,-3.6947690419535366,0.0,1.0,0.0
19,37912.5,0.0,6.897969737021317,19.585858585858585,-3.6993108055387,0.0,1.0,0.0
20,14546.25,0.0,6.879956005785488,19.585858585858585,-3.703588247870622,0.0,1.0,0.0
21,32338.953125,0.0,6.862210508540734,18.626262626262626,-3.707694290820925,0.0,1.0,0.0
22,29838.7109375,0.0,6.844519510970067,18.626262626262626,-3.711717127870242,0.0,1.0,0.0
23,16302.0546875,0.0,6.826900805197144,18.626262626262626,-3.715695021937095,0.0,1.0,0.0
24,18648.8984375,0.0,6.806776995739781,17.363636363636363,-3.7196272121958,0.0,1.0,0.0
25,863757.125,0.0,6.784067827299993,17.363636363636363,-3.724016316152393,0.0,1.0,0.0
26,20630.4375,0.0,6.760032327590432,17.363636363636363,-3.7288086577830675,0.0,1.0,0.0
27,22338.4296875,0.0,6.735676535630988,17.363636363636363,-3.733837691307946,0.0,1.0,0.0
28,15948.2890625,0.0,6.711364086115809,17.363636363636363,-3.738957050558892,0.0,1.0,0.0
29,15858.4765625,0.0,6.687069888091098,17.363636363636363,-3.7441004721895492,0.0,1.0,0.0
30,17656.125,0.0,6.662337253686956,17.363636363636363,-3.749271049031994,0.0,1.0,0.0
31,232017.171875,0.0,6.637131760635076,17.363636363636363,-3.754541729537458,0.0,1.0,0.0
32,13033.359375,0.0,6.611663214744366,17.363636363636363,-3.759916322648201,0.0,1.0,0.0
33,382160.5,0.0,6.586101816068003,17.363636363636363,-3.765363177857828,0.0,1.0,0.0
34,35450.828125,0.0,6.560515603934727,20.242424242424242,-3.7708594206071826,0.0,1.0,0.0
35,8852.1171875,0.0,6.53490332353288,20.242424242424242,-3.7763899545828266,0.0,1.0,0.0
36,1190400.375,0.0,6.515377776662413,18.87878787878788,-3.7819562521011685,0.0,1.0,0.0
37,18234.8828125,0.0,6.501995980166238,19.434343434343432,-3.786365513665968,0.0,1.0,0.0
38,30034.59375,0.0,6.491793165333984,19.434343434343432,-3.7897749933897042,0.0,1.0,0.0
39,35438.734375,0.0,6.482507702936982,19.434343434343432,-3.7926020745886637,0.0,1.0,0.0
40,733403.625,0.0,6.473372421672311,16.050505050505052,-3.7951802517490854,0.0,1.0,0.0
41,27686.46875,0.0,6.464482167634188,16.050505050505052,-3.7976573450559092,0.0,1.0,0.0
42,764845.375,0.0,6.459959678371969,16.050505050505052,-3.800041069777853,0.0,1.0,0.0
43,803663.875,0.0,6.460201302944209,16.050505050505052,-3.8016358022566785,0.0,1.0,0.0
44,57489.875,0.0,6.463084273488876,18.12121212121212,-3.802469582679423,0.0,1.0,0.0
45,17356.3671875,0.0,6.467073234481941,17.91919191919192,-3.802808010480816,0.0,1.0,0.0
46,34380.9296875,0.0,6.471470665437591,17.91919191919192,-3.802894529899199,0.0,1.0,0.0
47,126594.9296875,0.0,6.476390078488543,17.91919191919192,-3.802839145869756,0.0,1.0,0.0
48,1175138.0,0.0,6.478160833193217,17.91919191919192,-3.802641056212588,0.0,1.0,0.0
49,93475.921875,0.0,6.476593374113201,17.91919191919192,-3.802933048133139,0.0,1.0,0.0
50,14605.3359375,0.0,6.474456437579763,17.91919191919192,-3.8036918168097307,0.0,1.0,0.0
51,25727.96875,0.0,6.475092014150005,17.91919191919192,-3.804246586253531,0.0,1.0,0.0
52,64366.6328125,0.0,6.479537139481364,17.91919191919192,-3.803957019182732,0.0,1.0,0.0
53,76661.6875,0.0,6.487639844497261,17.91919191919192,-3.802916956714921,0.0,1.0,0.0
54,16371.9921875,0.0,6.497057747291045,17.01010101010101,-3.801011435252046,0.0,1.0,0.0
55,32801.6953125,0.0,6.50727644317453,17.01010101010101,-3.798757325713013,0.0,1.0,0.0
56,31793.203125,0.0,6.518635430545134,17.01010101010101,-3.796143189567893,0.0,1.0,0.0
57,15439.28125,0.0,6.533183353380407,17.01010101010101,-3.7932372278226607,0.0,1.0,0.0
58,212662.546875,0.0,6.551914726438567,17.01010101010101,-3.7892691845058457,0.0,1.0,0.0
59,20548.4453125,0.0,6.57470172654553,17.01010101010101,-3.7844318430855286,0.0,1.0,0.0
60,48094.046875,0.0,6.602595965288932,17.01010101010101,-3.778667720962447,0.0,1.0,0.0
61,14243.2265625,0.0,6.635374471825917,18.87878787878788,-3.771869910239611,0.0,1.0,0.0
62,226629.84375,0.0,6.672095337121654,18.87878787878788,-3.763999427121557,0.0,1.0,0.0
